Name	ID	State	Network	County	Elevation_ft	Latitude	Longitude	HUC	Date_of_Data	Date_Report_Created	Value_inches	Percent_NRCS_1981_2010_Average	Percent_NRCS_1981_2010_Median	Percent_of_POR_Average	Percent_of_POR_Median	Percent_of_Water_Year_Peak	Percent_of_Average_Water_Year_Peak_POR	Percent_of_Median_Water_Year_Peak_POR	POR_Median_Departure_inches	Percentile_POR	Maximum_Rank_POR	Minimum_Rank_POR	Records_POR	Percent_of_Saturation	NRCS_1981_2010_Average_inches	NRCS_1981_2010_Median_inches	POR_Average_inches	POR_Median_inches	Minimum_POR_inches	Maximum_POR_inches	Year_of_Minimum_POR	Year_of_Maximum_POR	Number_of_Observations_POR	Saturation_inches
Apishapa	"303	"	Colorado	SNOTEL	Huerfano	10000	37.33062	-105.06749	"110200060406	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.2	162	170	170	192	100	121	129	4.9	92	4	35			6.3	6	5.99	5.3	0.4	13.8	2006	2008	39	
Arapaho Ridge	"1030	"	Colorado	SNOTEL	Grand	10960	40.35098	-106.38142	"140100010604	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.1	110	117	110	108	100	72	72	1.4	63	7	11			16.4	15.5	16.47	16.7	11.1	22.6	2003	2011	17	
Arbuckle Mtn	"304	"	Oregon	SNOTEL	Morrow	5770	45.19085	-119.25392	"170702020604	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	14.2	91	102	96	106	88	70	73	0.8	55	19	23			15.6	13.9	14.77	13.4	6.6	29.3	1981	1983	41	
Atlanta Summit	"306	"	Idaho	SNOTEL	Elmore	7580	43.7569	-115.23907	"170501110204	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.7	107	108	105	107	100	78	84	1.6	65	14	25			22.1	22	22.55	22.1	11.3	42.5	1991	1997	38	
Azure	"1E08P	"	British Columbia	Cooperator Snow Sensors	"	"	5331	52.58333	-119.71667	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	35.62	37	21.4	48.6	2001	1999	19	
Badger Pass	"307	"	Montana	SNOTEL	Pondera	6900	48.13088	-113.02317	"100302010201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.8	78	85	78	80	100	51	55	-4.65	18	33	8			24	22.1	24.24	23.45	13.2	37.1	2001	1991	40	
Baker Butte	"308	"	Arizona	SNOTEL	Gila	7300	34.4566	-111.40643	"150602030206	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	3.9	76	74	89	100	100	56	58	0	50	20	20			5.1	5.3	4.37	3.9	0	13.9	"2006, 2014, 2015, more"	2010	39	
Baker Butte Smt	"1140	"	Arizona	SNOTEL	Coconino	7700	34.45547	-111.38272	"150602030103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.9			116	109	100	89	91	0.9	67	4	7					9.43	10	1.8	19.8	2015	2010	10	
Bald Mtn.	"309	"	Wyoming	SNOTEL	Big Horn	9380	44.8007	-107.84442	"100800100501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.8	99	100	99	100	100	60	61	0	53	20	21			13.9	13.8	13.97	13.8	8.8	21.1	1981	1990	41	
Baldy	"310	"	Arizona	SNOTEL	Apache	9125	33.97883	-109.50344	"150200010203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7.9	107	103	119	122	100	93	101	1.4	66	14	26			7.4	7.7	6.66	6.5	0	16.4	"2000, 2006, 2014"	1993	39	
Banfield Mountain	"311	"	Montana	SNOTEL	Lincoln	5600	48.5712	-115.44573	"170101011202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.6	88	91	85	90	99	63	67	-1.4	32	35	17			14.3	13.9	14.78	14	4.8	26.3	1977	1974	51	
Banner Summit	"312	"	Idaho	SNOTEL	Boise	7040	44.30342	-115.23447	"170501200202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	18.8	96	94	95	100	100	71	69	0	50	20	20			19.6	19.9	19.77	18.8	9.1	33.8	2001	1997	39	
Bar M	"1212	"	Arizona	SNOTEL	Coconino	6393	34.86136	-111.60503	"150602020601	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	1.5			339		68	50	52	1.5	100	1	7	Highest				0.44	0	0	1.5	"2015, 2016, 2018, more"	2019	7	
Barker Lakes	"313	"	Montana	SNOTEL	Deer Lodge	8250	46.09713	-113.13038	"170102010304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.7	99	102	97	101	100	54	54	0.05	51	20	21			9.8	9.5	9.96	9.65	6.5	15.8	2005	2018	40	
Barkerville	"1A03P	"	British Columbia	Cooperator Snow Sensors	"	"	4865	53.05	-121.48333	"	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	10.57	10.3	5.7	16.5	2003	1999	37	
Barnes Creek	"2B06P	"	British Columbia	Cooperator Snow Sensors	"	"	5233	50.06667	-118.35	"170200010305	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	16.12	16.4	8.2	24.6	2017	1997	23	
Base Camp	"314	"	Wyoming	SNOTEL	Teton	7060	43.94019	-110.44544	"170401010304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.7	99	105	96	100	100	76	84	0	50	20	20			13.9	13	14.21	13.7	7.1	25.9	2010	1997	39	
Basin Creek	"315	"	Montana	SNOTEL	Silver Bow	7180	45.79737	-112.52047	"170102010201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.3	98	100	95	100	100	51	53	0	50	20	18			5.4	5.3	5.56	5.3	2.5	9	1991	2014	39	
Bateman	"316	"	New Mexico	SNOTEL	Rio Arriba	9300	36.51216	-106.32129	"130201020901	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.9	115	106	117	118	100	86	89	1.65	62	16	25			9.5	10.3	9.28	9.25	3	17.6	2006	1984	40	
Battle Mountain	"317	"	Wyoming	SNOTEL	Carbon	7440	41.05413	-107.26609	"140500030109	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.5	111	117	115	119	100	87	88	1.65	70	11	24			9.5	9	9.16	8.85	4.1	15.7	1987	1997	34	
Beach Meadows	"BCH	"	California	Cooperator Snow Sensors	Tulare	7650	36.127	-118.293	"180300010403	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	8.09	6.85	0	26.6	"1991, 1992"	2017	32	
Beagle Springs	"318	"	Montana	SNOTEL	Beaverhead	8850	44.47147	-112.98191	"100200010501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.9	92	98	92	97	100	54	54	-0.2	45	23	16			6.4	6	6.43	6.1	4.2	10.3	"1981, 1987, 1991"	"1997, 1999"	41	
Bear Basin	"319	"	Idaho	SNOTEL	Adams	5350	44.95222	-116.14293	"170602100104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17.1	122	126	125	127	100	96	98	3.6	76	10	30			14	13.6	13.65	13.5	6.2	22.9	1991	1997	39	
Bear Canyon	"320	"	Idaho	SNOTEL	Custer	7900	43.74367	-113.93797	"170402180101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.8	119	116	116	116	100	80	87	1.8	79	9	31			10.8	11	11.03	11	3.4	21.9	1991	1997	39	
Bear Creek	"321	"	Nevada	SNOTEL	Elko	8040	41.83384	-115.45278	"170501020301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16.6	108	111	111	112	100	75	79	1.75	64	15	26			15.3	14.9	14.91	14.85	7.1	28.6	2010	1984	40	
Bear Grass	"1166	"	Oregon	SNOTEL	Linn	4720	44.3253	-122.0938	"170900040203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	34.8			117	110	100	77	72	3.05	57	4	5					29.69	31.75	0	49.1	2015	2017	8	
Bear Lake	"322	"	Colorado	SNOTEL	Larimer	9500	40.31118	-105.64483	"101900060201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.7	109	113	105	111	100	61	64	1.3	61	16	24			11.7	11.2	12.13	11.4	6.2	21.8	2002	1986	39	
Bear Mountain	"323	"	Idaho	SNOTEL	Bonner	5400	48.30577	-116.07448	"170102131202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	34.7	80	79	84	87	100	59	60	-5.1	30	27	12			43.6	44.1	41.54	39.8	19.2	70	2001	1999	38	
Bear River	"1061	"	Colorado	SNOTEL	Routt	9080	40.06153	-107.00955	"140500010102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.7	100	112	107	106	100	73	73	0.5	79	4	11			8.7	7.8	8.17	8.2	5.7	11	2012	2011	15	
Bear River RS	"992	"	Utah	SNOTEL	Summit	8777	40.8852	-110.8277	"160101010106	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	8.1			107	119	99	82	92	1.3	75	3	7					7.54	6.8	4.8	11.8	2012	2011	9	
Bear Saddle	"324	"	Idaho	SNOTEL	Washington	6180	44.60533	-116.98097	"170501241001	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	24.8	136	128	136	130	100	111	104	5.75	86	6	33			18.3	19.4	18.28	19.05	8.8	30.7	1991	1983	38	
Bear Trap Meadow	"325	"	Wyoming	SNOTEL	Johnson	8200	43.88743	-107.06135	"100902010205	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.3	154	158	139	154	100	91	99	2.2	87	6	34			4.1	4	4.53	4.1	2.3	7.6	1981	2014	39	
Beartooth Lake	"326	"	Wyoming	SNOTEL	Park	9360	44.94307	-109.56743	"100700060206	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.8	75	81	73	81	100	49	52	-3.1	13	34	6			17	15.8	17.44	15.9	9.4	32.9	2001	2018	39	
Beartown	"327	"	Colorado	SNOTEL	Mineral	11600	37.71409	-107.51212	"130100010104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19.4	111	111	114	117	100	76	81	2.8	69	12	26			17.5	17.5	16.99	16.6	8.3	32.4	2006	1997	37	
Beaver Ck Village	"1041	"	Colorado	SNOTEL	Eagle	8500	39.59917	-106.51142	"140100030301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.8	105	99	109	107	100	82	84	0.65	67	6	10			9.3	9.9	8.96	9.15	6	11.8	2018	2009	16	
Beaver Creek	"328	"	Montana	SNOTEL	Gallatin	7850	44.94966	-111.35852	"100200070402	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.2	99	99	96	97	100	64	65	-0.4	40	32	22			13.3	13.4	13.76	13.6	8	26	1977	1997	53	
Beaver Dams	"329	"	Utah	SNOTEL	Sanpete	7990	39.13683	-111.55813	"160300040402	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.3	127	141	127	139	100	97	103	2.9	82	8	31			8.1	7.3	8.09	7.4	3.7	16	1981	1984	39	
Beaver Divide	"330	"	Utah	SNOTEL	Summit	8280	40.61233	-111.09782	"160202030105	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.3	137	141	129	135	100	102	112	3.2	83	8	34			9	8.7	9.54	9.1	4.6	17.5	2018	2017	41	
Beaver Head	"902	"	Arizona	SNOTEL	Greenlee	7990	33.69144	-109.21657	"150601010107	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	0.4	9	11	16	29	13	9	11	-1	33	17	9			4.5	3.5	2.56	1.4	0	10.8	"2000, 2002, 2006, more"	2010	25	
Beaver Pass	"990	"	Washington	SNOTEL	Whatcom	3630	48.8793	-121.2555	"171100050605	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	24.7	84	92	84	80	98	61	55	-6.25	35	12	7			29.5	26.9	29.37	30.95	11.4	42.7	2005	2007	18	
Beaver Reservoir	"331	"	Oregon	SNOTEL	Union	5150	45.14532	-118.219	"170601040301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.2	133	135	135	135	100	98	100	2.9	87	6	34			8.4	8.3	8.31	8.3	1.9	16.2	1981	1998	39	
Beaver Spring	"1143	"	Arizona	SNOTEL	Apache	9200	36.32678	-109.05711	"140802040401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.1			158	151	100	129	148	3.75	89	2	8	2nd Highest				7.04	7.35	0.2	13	2015	2010	10	
Ben Lomond Peak	"332	"	Utah	SNOTEL	Weber	7689	41.37603	-111.94405	"160201020302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	35.1	115	116	116	117	100	86	93	5.1	70	13	29			30.6	30.3	30.25	30	11.9	65.4	2018	1997	41	
Ben Lomond Trail	"333	"	Utah	SNOTEL	Weber	5972	41.38291	-111.92103	"160201020302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	20.5	119	121	124	136	100	103	107	5.4	71	12	28			17.2	16.9	16.56	15.1	3.5	32.5	2018	1984	39	
Berry Creek	"334	"	Nevada	SNOTEL	White Pine	9377	39.31917	-114.62278	"160600081301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13.4	116	131	120	131	100	72	80	3.2	68	13	27			11.6	10.2	11.16	10.2	4.7	27	"1991, 2018"	2005	39	
Berthoud Summit	"335	"	Colorado	SNOTEL	Grand	11300	39.80392	-105.77789	"140100010202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	13	99	102	98	100	100	57	56	0	50	21	21			13.1	12.7	13.3	13	7	19.1	1981	1984	41	
Bettles Field	"1182	"	Alaska	SNOTEL	Yukon-Koyukuk	640	66.91667	-151.53333	"190901012604	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.7	187	194	186	202	100	138	145	4.9	97	2	38	2nd Highest		5.2	5	5.21	4.8	1.8	12.1	2007	1993	39	
Bevans Cabin	"1214	"	Utah	SNOTEL	Tooele	6520	40.46182	-112.25233	"160203040401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	11.1			189	206	100	169	166	5.7	100	1	7	Highest				5.89	5.4	0.9	11.1	2015	2019	7	
Big Bend	"336	"	Nevada	SNOTEL	Elko	6898	41.76168	-115.6931	"170501040104	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.2	129	131	131	131	100	103	100	2.4	78	10	30			7.9	7.8	7.79	7.8	2.6	15.7	1987	1984	41	
Big Creek Sum	"337	"	Nevada	SNOTEL	Lander	8685	39.29148	-117.11506	"160401070303	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	16.5	128	138	131	134	100	81	86	4.2	74	11	29			12.9	12	12.56	12.3	3.7	28	1981	1984	39	
Big Creek Summit	"338	"	Idaho	SNOTEL	Valley	6560	44.62621	-115.79561	"170602080402	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	22.8	93	92	95	95	100	69	70	-1.3	43	22	16			24.6	24.7	24.04	24.1	12.8	39.5	2001	1982	38	
Big Flat	"339	"	Utah	SNOTEL	Beaver	10349	38.30183	-112.35672	"160300070202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	17.3	129	136	127	133	100	80	89	4.3	75	11	31			13.4	12.7	13.6	13	5.2	21.9	2018	2011	41	
Big Flat	"BFL	"	California	Cooperator Snow Sensors	Trinity	5100	41.08	-122.942	"180102110102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	15.47	13.5	0	33.7	2015	1998	29	
Big Goose	"931	"	Wyoming	SNOTEL	Sheridan	7990	44.57924	-107.20068	"100901010103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	5.5	92	93	96	96	98	51	53	-0.2	40	13	8			6	5.9	5.74	5.7	3.4	7.8	2016	2012	21	
Big Meadow	"340	"	Nevada	SNOTEL	Washoe	8235	39.455	-119.9422	"160501020505	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	31.2	187	199	184	192	100	138	147	14.95	94	3	34			16.7	15.7	16.99	16.25	3.6	42.8	1991	2017	36	
Big Meadows	"BIM	"	California	Cooperator Snow Sensors	Tulare	7600	36.717	-118.842	"180300100403	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	19.43	18.4	0.6	42.8	2015	1983	35	
Big Pine Creek	"BGP	"	California	Cooperator Snow Sensors	Inyo	9800	37.128	-118.475	"180901020709	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	11.36	9.25	0	37.8	1991	2017	28	
Big Red Mountain	"341	"	Oregon	SNOTEL	Jackson	6050	42.05257	-122.85487	"171003090301	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19	89	90	95	95	100	65	65	-1.1	47	21	19			21.4	21	19.94	20.1	3.2	42.7	2014	1983	39	
Big Sandy Opening	"342	"	Wyoming	SNOTEL	Sublette	9080	42.6458	-109.25965	"140401040101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	10.3	103	110	102	108	98	71	75	0.8	67	13	24			10	9.4	10.07	9.5	5.3	18.3	1981	2017	37	
Bigelow Camp	"343	"	Oregon	SNOTEL	Josephine	5130	42.07875	-123.34393	"171003090105	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	12.4	103	138	113	142	100	75	83	3.65	62	15	23			12	9	10.96	8.75	0	28.5	"1981, 1991, 2015"	1999	38	
Billie Creek Divide	"344	"	Oregon	SNOTEL	Klamath	5280	42.40717	-122.26617	"180102030201	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19.3	97	98	107	110	100	86	84	1.7	57	18	24			19.8	19.7	17.99	17.6	0	32.1	2015	1989	41	
Bird Creek	"1155	"	Nevada	SNOTEL	White Pine	7537	39.46138	-114.64863	"160600081304	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	4.6			169	174	100	148	144	1.95	71	3	6					2.73	2.65	0	5.4	2015	2016	8	
Bishop Pass	"BSH	"	California	Cooperator Snow Sensors	Fresno	11200	37.1	-118.557	"180300100302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	17.57	15.7	1.3	39.3	1991	1997	27	
Bison Lake	"345	"	Colorado	SNOTEL	Garfield	10880	39.76487	-107.35681	"140100011401	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	23.8	118	129	120	130	100	82	86	5.45	76	9	26			20.2	18.4	19.91	18.35	12.2	38.3	2015	1986	34	
Bisson Creek	"346	"	Montana	SNOTEL	Lake	4920	47.68389	-113.99901	"170102120602	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.5	127	123	125	135	100	90	98	2.45	89	4	25			7.5	7.7	7.61	7.05	3.6	16	2005	1997	28	
Black Bear	"347	"	Montana	SNOTEL	Gallatin	8170	44.50832	-111.12803	"100200070202	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	28.4	93	101	95	102	100	66	69	0.45	53	23	26			30.4	28	29.96	27.95	10.1	60	1977	1997	48	
Black Flat-U.M. Ck	"348	"	Utah	SNOTEL	Sevier	9414	38.6799	-111.59765	"140700030101	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.9	136	157	134	151	100	93	104	3.35	78	9	30			7.3	6.3	7.37	6.55	3.6	14.2	1991	1993	38	
Black Mesa	"1185	"	Colorado	SNOTEL	Dolores	11580	37.78972	-108.18365	"140300020103	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	19.9			122	134	100	80	79	5	83	2	6	2nd Highest				16.27	14.9	8.4	26.2	2018	2017	7	
Black Mountain	"1161	"	Colorado	SNOTEL	Larimer	8920	40.888	-105.66397	"101900070501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	7			92	92	100	57	57	-0.6	25	7	3					7.61	7.6	5.1	9.2	2013	2012	9	
Black Pine	"349	"	Montana	SNOTEL	Granite	7210	46.414	-113.43095	"170102020203	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.3	115	122	106	114	100	72	78	1.15	64	20	35			8.1	7.6	8.74	8.15	4	14.1	1977	1972	54	
Black Springs	"BLS	"	California	Cooperator Snow Sensors	Calaveras	6500	38.375	-120.192	"180400100303	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	20.02	18.95	0	42.8	2015	1983	40	
Blackhall Mtn	"1119	"	Wyoming	SNOTEL	Carbon	9820	41.05616	-106.71384	"101800020504	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	22.9			103	108	100	67	64	1.6	67	4	7					22.24	21.3	16.7	30.3	2015	2017	10	
Blacks Fork Jct	"1162	"	Utah	SNOTEL	Summit	8869	40.95814	-110.5828	"140401070303	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	6.3			97	102	94	67	67	0.1	63	4	6					6.47	6.2	4	9	2012	"2016, 2017"	9	
Blacks Mountain	"BLA	"	California	Cooperator Snow Sensors	Lassen	7050	40.77	-121.198	"180200030607	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	8.79	8.3	0.5	19.1	2018	1995	27	
Blacktail Mtn	"1144	"	Montana	SNOTEL	Flathead	5650	47.98288	-114.3543	"170102080302	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	9.6			93	100	100	65	64	0	50	5	5					10.34	9.6	7.6	16.2	2015	2011	9	
Blackwall Peak	"2G03P	"	British Columbia	Cooperator Snow Sensors	"	"	6345	49.08333	-120.76667	"170200070205	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"																	26.13	24.1	7.8	48.6	1977	1991	48	
Blackwater	"350	"	Wyoming	SNOTEL	Park	9780	44.37667	-109.79333	"100800120209	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.9	91	98	88	96	100	54	59	-0.65	41	23	14			17.5	16.3	18.12	16.55	9.8	31.8	2001	1997	38	
Blazed Alder	"351	"	Oregon	SNOTEL	Clackamas	3650	45.4287	-121.85605	"170800010102	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	20.5	77	83	82	96	100	58	62	-0.9	43	22	17			26.7	24.7	24.86	21.4	0	64	2015	2008	38	
Blewett Pass	"352	"	Washington	SNOTEL	Chelan	4240	47.35037	-120.6796	"170200110501	"	"February 20, 2019, end of day "	"2-21-2019, 11:30 AM GMT-0900"	15.3	110	108	117	119	100	95	96	2.45	68	13	26			13.9	14.2	13.06	12.85	1.4	20.8	2005	1997	38	
